price,area,Bedrooms,Bathrooms,Balcony,neworold,parking,Furnished_status,Lift,type_of_building,Price_sqft,
3500000,850,2,2,,Resale,,Unfurnished,,Individual House,4117.64705882353,
7000000,1888,4,3,4,New Property,,Furnished,,Flat,3707.62711864407,
10000000,1000,3,2,1,Resale,,,,Flat,10000,
6000000,1465,3,3,2,New Property,,,,Flat,4095.56313993174,
7250000,1565,3,3,,Resale,,Unfurnished,,Flat,4632.58785942492,
12800000,1433,2,2,,New Property,,,2,Flat,8932.30983949756,
7500000,1300,3,2,2,New Property,,,,Flat,5769.23076923077,
5500000,1350,3,2,1,Resale,,Semi-Furnished,,Flat,4074.07407407407,
5200000,1220,2,2,3,Resale,,,,Flat,4262.29508196721,
10500000,1762,3,3,,Resale,1,,2,Flat,5959.13734392736,
5500000,1000,3,2,1,New Property,,,,Flat,5500,
8000000,1800,3,2,2,Resale,1,,1,Flat,4444.44444444444,
4500000,1245,3,2,4,Resale,,,,Flat,3614.4578313253,
3600000,770,2,2,,Resale,,,,Individual House,4675.32467532468,
5100000,1273,2,2,,Resale,,,,Flat,4006.28436763551,
6500000,1540,3,3,,Resale,,Semi-Furnished,,Individual House,4220.77922077922,
3600000,1125,3,2,,Resale,,,,Flat,3200,
5000000,1536,3,2,3,Resale,,,,Flat,3255.20833333333,
2500000,800,2,2,,Resale,,Unfurnished,,Flat,3125,
4500000,1300,3,2,,Resale,,Semi-Furnished,,Flat,3461.53846153846,
5200000,1377,3,2,,Resale,1,,,Flat,3776.3253449528,
3500000,1250,2,2,2,Resale,,,,Flat,2800,
8500000,1500,4,4,2,Resale,,Unfurnished,,Flat,5666.66666666667,
3100000,1050,2,2,3,New Property,1,,2,Flat,2952.38095238095,
3700000,850,2,2,,Resale,,Semi-Furnished,,Flat,4352.94117647059,
16000000,2150,3,3,2,Resale,2,Unfurnished,,Flat,7441.86046511628,
13500000,1915,4,3,,Resale,,Semi-Furnished,,Flat,7049.60835509138,
4500000,1000,3,2,,Resale,,Semi-Furnished,,Individual House,4500,
7000000,1595,3,2,,Resale,1,Semi-Furnished,,Flat,4388.71473354232,
2900000,600,2,2,,Resale,,Semi-Furnished,,Flat,4833.33333333333,
6800000,1690,3,3,,Resale,,Semi-Furnished,,Flat,4023.66863905325,
3250000,700,2,2,1,Resale,10,Furnished,,Flat,4642.85714285714,
5900000,1045,2,2,4,Resale,1,,2,Flat,5645.93301435407,
5850000,1660,3,3,3,Resale,,,,Flat,3524.09638554217,
